,,
,,
genotype,Rouille,Oïdium
EPO_402,0,30
EPO_69,0,15
EPO_278,0,90
EPO_371,3,80
EPO_233,0,25
EPO_185,0,20
EPO_474,1,7
EPO_230,0,10
EPO_237,0,5
EPO_426,0,3
EPO_195,0,10
EPO_262,0,20
EPO_5,0,5
EPO_207,0,10
EPO_40,0,10
EPO_298,0,15
EPO_188,0,3
EPO_366,0,15
EPO_346,0,7
EPO_202,0,10
EPO_336,0,10
EPO_198,0,20
EPO_459,0,40
EPO_104,0,30
EPO_316,15,25
EPO_175,3,15
EPO_130,0,30
EPO_372,0,60
EPO_388,0,10
EPO_368,0,15
EPO_350,0,30
EPO_373,0,15
EPO_265,1,15
EPO_153,0,60
EPO_331,1,50
EPO_488,0,10
EPO_13,0,40
EPO_149,0,60
EPO_101,1,30
EPO_485,0,15
EPO_41,0,50
EPO_194,0,15
EPO_464,0,40
EPO_353,0,10
EPO_166,0,10
EPO_131,0,15
EPO_447,0,60
EPO_59,0,10
EPO_6,0,15
EPO_148,0,5
EPO_415,0,15
EPO_441,0,60
EPO_311,0,20
EPO_51,1,40
EPO_428,0,30
EPO_235,0,70
EPO_261,5,25
EPO_28,0,30
EPO_412,0,15
EPO_92,0,15
EPO_117,0,10
EPO_240,0,15
EPO_222,0,7
EPO_146,0,15
EPO_120,1,15
EPO_476,0,60
EPO_68,0,7
EPO_376,0,10
EPO_483,0,10
EPO_288,0,15
EPO_352,0,60
EPO_470,0,15
EPO_165,0,10
EPO_227,0,25
EPO_126,0,10
EPO_119,0,15
EPO_122,0,30
EPO_76,1,30
EPO_75,0,25
EPO_197,0,70
EPO_451,0,50
EPO_427,0,15
EPO_138,0,40
EPO_469,0,30
EPO_212,25,25
EPO_10,10,15
EPO_29,0,60
EPO_67,0,30
EPO_383,0,60
EPO_16,1,10
EPO_82,1,20
EPO_370,0,15
EPO_241,0,10
EPO_95,0,15
EPO_114,0,15
EPO_179,0,25
EPO_140,1,10
EPO_387,0,15
EPO_356,1,10
EPO_348,0,20
EPO_279,1,10
EPO_27,0,15
EPO_70,0,30
EPO_407,1,10
EPO_3,0,15
EPO_377,0,30
EPO_139,0,10
EPO_341,1,15
EPO_4,3,30
EPO_199,0,20
EPO_31,0,80
EPO_461,0,30
EPO_303,0,10
EPO_344,0,25
EPO_243,0,20
EPO_124,0,7
EPO_94,0,15
EPO_335,10,50
EPO_309,15,20
EPO_329,0,10
EPO_229,0,90
EPO_453,0,7
EPO_435,0,20
EPO_250,0,15
EPO_9,0,10
EPO_118,0,5
EPO_74,1,3
EPO_345,0,10
EPO_182,0,20
EPO_482,0,60
EPO_187,0,0
EPO_486,0,10
EPO_73,1,30
EPO_77,1,20
EPO_184,3,15
EPO_436,0,20
EPO_96,1,60
EPO_394,10,10
EPO_444,7,20
EPO_244,0,80
EPO_49,0,10
EPO_192,7,10
EPO_72,10,25
EPO_176,0,15
EPO_385,1,50
EPO_91,1,30
EPO_189,0,30
EPO_85,1,20
EPO_116,0,30
Claudio,0,40
EPO_100,0,50
EPO_65,0,10
EPO_460,0,10
EPO_399,1,15
EPO_416,0,30
EPO_295,3,15
EPO_268,0,30
EPO_305,0,20
EPO_462,0,60
EPO_465,3,40
EPO_401,0,10
EPO_35,3,25
EPO_504,0,50
EPO_251,3,10
EPO_143,1,60
EPO_480,0,10
EPO_112,1,50
EPO_423,5,10
EPO_410,0,15
EPO_145,5,40
EPO_239,0,15
EPO_38,0,20
EPO_83,0,15
EPO_252,0,10
EPO_201,0,60
EPO_489,1,30
EPO_315,0,40
EPO_395,0,30
EPO_292,0,5
EPO_89,1,60
EPO_367,0,15
EPO_99,0,10
