,2,3,4,5,6,7,8,9,10,11,12,13,14
26a,207,40,194,464,288,352,387,356,118,74,399,416,99
26b,5,298,41,353,483,470,140,348,9,345,460,295,367
27a,262,188,485,166,376,165,179,279,250,182,65,268,89
27b,195,366,101,131,68,227,114,27,435,482,100,305,292
28a,426,346,149,447,476,126,95,70,453,187,T,462,395
28b,237,202,13,59,120,119,241,407,229,486,116,465,315
29a,230,336,488,6,146,122,370,3,329,73,85,401,489
29b,474,198,331,148,222,76,82,377,309,77,189,35,201
30a,185,459,153,415,240,75,16,139,335,184,91,504,252
30b,233,104,265,441,117,197,383,341,94,436,385,251,83
31a,371,316,373,311,92,451,67,4,124,96,176,143,38
31b,278,175,350,51,412,427,29,199,243,394,72,480,239
32a,69,130,368,428,28,138,10,31,344,444,192,112,145
32b,402,372,388,235,261,469,212,461,303,244,49,423,410
